month,item,type,territory,quantity,amount
Q1-2024,Classic Hoodie,Tops,Northeast,120,6100.25
Q1-2024,Classic Hoodie,Tops,Southeast,138,7506.1
Q1-2024,Classic Hoodie,Tops,Midwest,53,2508.42
Q1-2024,Classic Hoodie,Tops,West Coast,43,2314.76
Q1-2024,Classic Hoodie,Tops,Southwest,107,5793.16
Q1-2024,Slim Joggers,Bottoms,Northeast,66,2408.78
Q1-2024,Slim Joggers,Bottoms,Southeast,138,5970.47
Q1-2024,Slim Joggers,Bottoms,Midwest,76,2983.5
Q1-2024,Slim Joggers,Bottoms,West Coast,56,2439.32
Q1-2024,Slim Joggers,Bottoms,Southwest,76,3034.76
Q1-2024,Graphic Tee,Tops,Northeast,51,1263.3
Q1-2024,Graphic Tee,Tops,Southeast,56,1275.5
Q1-2024,Graphic Tee,Tops,Midwest,120,2892.95
Q1-2024,Graphic Tee,Tops,West Coast,153,3460.58
Q1-2024,Graphic Tee,Tops,Southwest,129,2760.79
Q1-2024,Cargo Shorts,Bottoms,Northeast,89,2864.37
Q1-2024,Cargo Shorts,Bottoms,Southeast,98,3366.01
Q1-2024,Cargo Shorts,Bottoms,Midwest,154,4884.87
Q1-2024,Cargo Shorts,Bottoms,West Coast,84,2905.88
Q1-2024,Cargo Shorts,Bottoms,Southwest,154,5771.53
Q1-2024,Running Sneakers,Footwear,Northeast,51,4759.93
Q1-2024,Running Sneakers,Footwear,Southeast,105,10351.97
Q1-2024,Running Sneakers,Footwear,Midwest,83,7317.01
Q1-2024,Running Sneakers,Footwear,West Coast,62,5157.76
Q1-2024,Running Sneakers,Footwear,Southwest,141,12573.68
Q1-2024,Ankle Socks 3pk,Accessories,Northeast,119,1834.36
Q1-2024,Ankle Socks 3pk,Accessories,Southeast,111,1504.61
Q1-2024,Ankle Socks 3pk,Accessories,Midwest,134,1905.64
Q1-2024,Ankle Socks 3pk,Accessories,West Coast,55,835.1
Q1-2024,Ankle Socks 3pk,Accessories,Southwest,48,757.68
Q1-2024,Puffer Jacket,Outerwear,Northeast,64,7243.1
Q1-2024,Puffer Jacket,Outerwear,Southeast,144,16686.11
Q1-2024,Puffer Jacket,Outerwear,Midwest,57,7387.31
Q1-2024,Puffer Jacket,Outerwear,West Coast,40,5143.64
Q1-2024,Puffer Jacket,Outerwear,Southwest,57,6333.3
Q1-2024,Baseball Cap,Accessories,Northeast,70,1635.42
Q1-2024,Baseball Cap,Accessories,Southeast,119,2691.76
Q1-2024,Baseball Cap,Accessories,Midwest,41,1084.01
Q1-2024,Baseball Cap,Accessories,West Coast,68,1639.43
Q1-2024,Baseball Cap,Accessories,Southwest,60,1365.17
Q1-2024,Yoga Leggings,Bottoms,Northeast,129,5833.99
Q1-2024,Yoga Leggings,Bottoms,Southeast,129,5776.14
Q1-2024,Yoga Leggings,Bottoms,Midwest,133,5999.51
Q1-2024,Yoga Leggings,Bottoms,West Coast,53,2386.3
Q1-2024,Yoga Leggings,Bottoms,Southwest,153,6254.82
Q1-2024,Sports Bra,Tops,Northeast,133,4281.42
Q1-2024,Sports Bra,Tops,Southeast,102,3033.31
Q1-2024,Sports Bra,Tops,Midwest,155,4240.15
Q1-2024,Sports Bra,Tops,West Coast,97,2851.79
Q1-2024,Sports Bra,Tops,Southwest,122,3651.66
Q2-2024,Classic Hoodie,Tops,Northeast,149,6813.14
Q2-2024,Classic Hoodie,Tops,Southeast,49,2502.57
Q2-2024,Classic Hoodie,Tops,Midwest,47,2243.81
Q2-2024,Classic Hoodie,Tops,West Coast,115,5804.45
Q2-2024,Classic Hoodie,Tops,Southwest,79,4339.89
