date,product,category,region,units,revenue
2024-01,Cold Brew Coffee,Beverages,North,64,548.03
2024-01,Cold Brew Coffee,Beverages,South,41,358.39
2024-01,Cold Brew Coffee,Beverages,East,71,649.57
2024-01,Cold Brew Coffee,Beverages,West,81,698.11
2024-01,Matcha Latte Mix,Beverages,North,51,607.04
2024-01,Matcha Latte Mix,Beverages,South,37,462.38
2024-01,Matcha Latte Mix,Beverages,East,25,302.85
2024-01,Matcha Latte Mix,Beverages,West,65,815.5
2024-01,Sparkling Water,Beverages,North,38,191.31
2024-01,Sparkling Water,Beverages,South,75,355.78
2024-01,Sparkling Water,Beverages,East,75,381.67
2024-01,Sparkling Water,Beverages,West,45,216.81
2024-01,Energy Drink Pack,Beverages,North,85,1587.77
2024-01,Energy Drink Pack,Beverages,South,29,528.5
2024-01,Energy Drink Pack,Beverages,East,78,1496.58
2024-01,Energy Drink Pack,Beverages,West,75,1456.97
2024-01,Protein Bar Box,Snacks,North,58,1517.99
2024-01,Protein Bar Box,Snacks,South,48,1205.76
2024-01,Protein Bar Box,Snacks,East,77,1947.04
2024-01,Protein Bar Box,Snacks,West,79,1989.48
2024-01,Trail Mix Bag,Snacks,North,69,625.07
2024-01,Trail Mix Bag,Snacks,South,38,353.02
2024-01,Trail Mix Bag,Snacks,East,29,267.86
2024-01,Trail Mix Bag,Snacks,West,30,278.38
2024-01,Granola Clusters,Snacks,North,64,504.45
2024-01,Granola Clusters,Snacks,South,47,364.62
2024-01,Granola Clusters,Snacks,East,41,341.89
2024-01,Granola Clusters,Snacks,West,65,525.02
2024-01,Dark Chocolate,Snacks,North,34,190.94
2024-01,Dark Chocolate,Snacks,South,34,184.41
2024-01,Dark Chocolate,Snacks,East,87,484.32
2024-01,Dark Chocolate,Snacks,West,59,329.89
2024-01,Almond Butter,Pantry,North,77,1106.96
2024-01,Almond Butter,Pantry,South,38,506.75
2024-01,Almond Butter,Pantry,East,44,601.26
2024-01,Almond Butter,Pantry,West,37,540.56
2024-01,Olive Oil 500ml,Pantry,North,80,1334.01
2024-01,Olive Oil 500ml,Pantry,South,65,1092.82
2024-01,Olive Oil 500ml,Pantry,East,82,1387.45
2024-01,Olive Oil 500ml,Pantry,West,40,662.38
2024-02,Cold Brew Coffee,Beverages,North,61,535.38
2024-02,Cold Brew Coffee,Beverages,South,63,588.9
2024-02,Cold Brew Coffee,Beverages,East,51,445.62
