period,sku,segment,zone,sold,total
Jan 2024,Starter Plan,Subscriptions,Americas,16,473.63
Jan 2024,Starter Plan,Subscriptions,EMEA,61,1746.19
Jan 2024,Starter Plan,Subscriptions,APAC,55,1573.26
Jan 2024,Pro Plan,Subscriptions,Americas,64,4949.02
Jan 2024,Pro Plan,Subscriptions,EMEA,36,2920.18
Jan 2024,Pro Plan,Subscriptions,APAC,23,1811.67
Jan 2024,Enterprise Plan,Subscriptions,Americas,30,8715.25
Jan 2024,Enterprise Plan,Subscriptions,EMEA,13,3887.47
Jan 2024,Enterprise Plan,Subscriptions,APAC,24,7388.92
Jan 2024,Data Analytics Add-on,Add-ons,Americas,32,1523.61
Jan 2024,Data Analytics Add-on,Add-ons,EMEA,65,3249.82
Jan 2024,Data Analytics Add-on,Add-ons,APAC,48,2393.12
Jan 2024,API Access Pack,Add-ons,Americas,18,1759.21
Jan 2024,API Access Pack,Add-ons,EMEA,59,5909.72
Jan 2024,API Access Pack,Add-ons,APAC,18,1803.98
Jan 2024,Priority Support,Services,Americas,36,5204.77
Jan 2024,Priority Support,Services,EMEA,14,2055.45
Jan 2024,Priority Support,Services,APAC,60,8966.18
Jan 2024,Onboarding Bundle,Services,Americas,53,26491.07
Jan 2024,Onboarding Bundle,Services,EMEA,16,7882.49
Jan 2024,Onboarding Bundle,Services,APAC,28,13592.87
Jan 2024,Training Credits,Education,Americas,35,7087.82
Jan 2024,Training Credits,Education,EMEA,37,7191.08
Jan 2024,Training Credits,Education,APAC,64,12809.92
Feb 2024,Starter Plan,Subscriptions,Americas,11,319.29
Feb 2024,Starter Plan,Subscriptions,EMEA,25,709.5
Feb 2024,Starter Plan,Subscriptions,APAC,37,1080.39
Feb 2024,Pro Plan,Subscriptions,Americas,25,1965.11
Feb 2024,Pro Plan,Subscriptions,EMEA,52,4005.86
Feb 2024,Pro Plan,Subscriptions,APAC,72,5540.46
Feb 2024,Enterprise Plan,Subscriptions,Americas,44,13161.78
Feb 2024,Enterprise Plan,Subscriptions,EMEA,73,21897.92
Feb 2024,Enterprise Plan,Subscriptions,APAC,35,10446.25
Feb 2024,Data Analytics Add-on,Add-ons,Americas,51,2571.13
Feb 2024,Data Analytics Add-on,Add-ons,EMEA,26,1237.02
Feb 2024,Data Analytics Add-on,Add-ons,APAC,60,2912.62
Feb 2024,API Access Pack,Add-ons,Americas,57,5686.43
Feb 2024,API Access Pack,Add-ons,EMEA,59,5923.42
Feb 2024,API Access Pack,Add-ons,APAC,31,2985.09
Feb 2024,Priority Support,Services,Americas,45,6831.12
Feb 2024,Priority Support,Services,EMEA,21,3181.41
Feb 2024,Priority Support,Services,APAC,40,6029.87
Feb 2024,Onboarding Bundle,Services,Americas,50,25416.31
Feb 2024,Onboarding Bundle,Services,EMEA,14,7101.77
Feb 2024,Onboarding Bundle,Services,APAC,39,19219.81
Feb 2024,Training Credits,Education,Americas,13,2540.35
Feb 2024,Training Credits,Education,EMEA,13,2654.27
Feb 2024,Training Credits,Education,APAC,43,8808.13
Mar 2024,Starter Plan,Subscriptions,Americas,47,1342.83
Mar 2024,Starter Plan,Subscriptions,EMEA,61,1736.21
Mar 2024,Starter Plan,Subscriptions,APAC,35,1032.1
Mar 2024,Pro Plan,Subscriptions,Americas,69,5396.03
Mar 2024,Pro Plan,Subscriptions,EMEA,19,1489.11
Mar 2024,Pro Plan,Subscriptions,APAC,70,5610.73
Mar 2024,Enterprise Plan,Subscriptions,Americas,71,21084.61
Mar 2024,Enterprise Plan,Subscriptions,EMEA,76,22718.82
Mar 2024,Enterprise Plan,Subscriptions,APAC,44,13490.93
Mar 2024,Data Analytics Add-on,Add-ons,Americas,46,2294.73
